jurisdiction,year,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,violent_crime_sum,murder_manslaughter_sum,rape_legacy_sum,robbery_sum,agg_assault_sum,property_crime_sum,burglary_sum,larceny_sum,vehicle_theft_sum,year
ILLINOIS,2006,69498,780,4078,23782,40858,387478,77259,272578,37641,,,,,,,,,,
INDIANA,2006,20303,361,1811,7175,10956,217783,45538,150655,21590,,,,,,,,,,
IOWA,2006,8521,55,871,1309,6286,84202,18160,60998,5044,,,,,,,,,,
KANSAS,2006,11960,125,1279,1878,8678,104260,20086,75450,8724,,,,,,,,,,
KENTUCKY,2006,11361,173,1312,3850,6026,109428,27867,72197,9364,,,,,,,,,,
LOUISIANA,2006,30923,555,1587,5928,22853,174975,46703,112605,15667,,,,,,,,,,
MAINE,2006,1533,23,341,383,786,33658,6846,25465,1347,,,,,,,,,,
MARYLAND,2006,38111,546,1178,14376,22011,195484,37459,127502,30523,,,,,,,,,,
MASSACHUSETTS,2006,32217,188,1771,8080,22178,153943,35243,100725,17975,,,,,,,,,,
MICHIGAN,2006,56981,721,5347,14229,36684,325594,76313,199183,50098,,,,,,,,,,
MINNESOTA,2006,16042,126,1645,5441,8830,159276,30306,115693,13277,,,,,,,,,,
MISSISSIPPI,2006,9076,231,1039,3259,4547,92853,27117,57406,8330,,,,,,,,,,
MISSOURI,2006,31897,369,1764,7597,22167,224007,44734,153874,25399,,,,,,,,,,
MONTANA,2006,3564,33,348,233,2950,26986,3380,21659,1947,,,,,,,,,,
